emocion,clase
tristeza,tristeza
abandono,tristeza
abatimiento,tristeza
abrumacion,tristeza
afliccion,tristeza
agitacion,tristeza
agobio,tristeza
agonia,tristeza
aislamiento,tristeza
amargura,tristeza
apatia,tristeza
arrepentimiento,tristeza
ausencia,tristeza
banalidad,tristeza
congoja,tristeza
consternacion,tristeza
contrariedad,tristeza
contricion,tristeza
culpa,tristeza
decaimiento,tristeza
decepcion,tristeza
dependencia,tristeza
depresion,tristeza
derrota,tristeza
desaliento,tristeza
desamor,tristeza
desamparo,tristeza
desanimo,tristeza
desaprobacion,tristeza
desconsuelo,tristeza
descontento,tristeza
desden,tristeza
desdicha,tristeza
desencanto,tristeza
desengano,tristeza
desesperanza,tristeza
desgano,tristeza
desidia,tristeza
desilusion,tristeza
desmotivacion,tristeza
desolacion,tristeza
desprestigio,tristeza
desvalorizacion,tristeza
desventura,tristeza
devaluacion,tristeza
disforia,tristeza
dolor,tristeza
duelo,tristeza
estancamiento,tristeza
exclusion,tristeza
fracaso,tristeza
humillacion,tristeza
incapacidad,tristeza
incomprension,tristeza
indiferencia,tristeza
inexpresividad,tristeza
infelicidad,tristeza
lastima,tristeza
malestar,tristeza
melancolia,tristeza
menosprecio,tristeza
necesidad,tristeza
neutralidad,tristeza
nostalgia,tristeza
pena,tristeza
perdicion,tristeza
pesadumbre,tristeza
pesar,tristeza
pesimismo,tristeza
remordimiento,tristeza
resignacion,tristeza
soledad,tristeza
sufrimiento,tristeza
suplicio,tristeza
tormento,tristeza
turbacion,tristeza
vacio,tristeza
alegria,alegria
alborozo,alegria
alivio,alegria
animo,alegria
anoranza,alegria
apaciguamiento,alegria
arrojo,alegria
asertividad,alegria
autenticidad,alegria
autocomplacencia,alegria
autonomia,alegria
bienaventuranza,alegria
brillantez,alegria
brio,alegria
calma,alegria
certeza,alegria
comodidad,alegria
complacencia,alegria
contemplacion,alegria
contento,alegria
deleite,alegria
despreocupacion,alegria
dicha,alegria
dignidad,alegria
disfrute,alegria
diversion,alegria
ecuanimidad,alegria
empoderamiento,alegria
encanto,alegria
entusiasmo,alegria
esperanza,alegria
euforia,alegria
exaltacion,alegria
excitacion,alegria
exito,alegria
extasis,alegria
fascinacion,alegria
felicidad,alegria
fervor,alegria
firmeza,alegria
frenesi,alegria
gozo,alegria
grandeza,alegria
gusto,alegria
ilusion,alegria
imperturbabilidad,alegria
inspiracion,alegria
intrepidez,alegria
jocosidad,alegria
jolgorio,alegria
jovialidad,alegria
jubilo,alegria
libertad,alegria
logro,alegria
lujuria,alegria
motivacion,alegria
omnipotencia,alegria
optimismo,alegria
osadia,alegria
ostentacion,alegria
pasion,alegria
placer,alegria
placidez,alegria
plenitud,alegria
regocijo,alegria
revulsion,alegria
satisfaccion,alegria
solemnidad,alegria
sosiego,alegria
suficiencia,alegria
tranquilidad,alegria
triunfo,alegria
valentia,alegria
vehemencia,alegria
vigor,alegria
vivacidad,alegria
enfado,enfado
abuso,enfado
agravio,enfado
agresividad,enfado
arrogancia,enfado
aspereza,enfado
barbaridad,enfado
beligerancia,enfado
bravura,enfado
brutalidad,enfado
burla,enfado
celo,enfado
colera,enfado
coraje,enfado
desconsideracion,enfado
desesperacion,enfado
despecho,enfado
destruccion,enfado
discordia,enfado
disgusto,enfado
displicencia,enfado
dominacion,enfado
enajenamiento,enfado
engano,enfado
engreimiento,enfado
enjuiciamiento,enfado
enojo,enfado
envidia,enfado
estres,enfado
exasperacion,enfado
fastidio,enfado
ferocidad,enfado
frustracion,enfado
furia,enfado
hosquedad,enfado
hostilidad,enfado
impaciencia,enfado
impotencia,enfado
incomodidad,enfado
inconformidad,enfado
indignacion,enfado
injusticia,enfado
insatisfaccion,enfado
insulto,enfado
invasion,enfado
ira,enfado
irritabilidad,enfado
malhumor,enfado
manipulacion,enfado
molestia,enfado
obligacion,enfado
obstinacion,enfado
odio,enfado
orgullo,enfado
pedanteria,enfado
petulancia,enfado
prepotencia,enfado
rabia,enfado
rebeldia,enfado
recelo,enfado
rencor,enfado
represion,enfado
resentimiento,enfado
superioridad,enfado
traicion,enfado
ultranza,enfado
venganza,enfado
violencia,enfado
amor,amor
aceptacion,amor
acompanamiento,amor
admiracion,amor
adoracion,amor
afecto,amor
agradecimiento,amor
agrado,amor
amabilidad,amor
apego,amor
apoyo,amor
aprobacion,amor
armonia,amor
atraccion,amor
benevolencia,amor
bondad,amor
capricho,amor
carino,amor
cercania,amor
compasion,amor
comprension,amor
compromiso,amor
condescendencia,amor
condolencia,amor
confianza,amor
conmiseracion,amor
consideracion,amor
consolacion,amor
consuelo,amor
cordialidad,amor
correspondencia,amor
cuidado,amor
deseo,amor
dulzura,amor
embelesamiento,amor
empatia,amor
enamoramiento,amor
estima,amor
fortaleza,amor
generosidad,amor
gratitud,amor
heroismo,amor
honestidad,amor
honorabilidad,amor
humildad,amor
integridad,amor
interes,amor
intimidad,amor
introspeccion,amor
justicia,amor
paciencia,amor
paz,amor
pertenencia,amor
receptividad,amor
respeto,amor
seguridad,amor
sensibilidad,amor
sensualidad,amor
sentimentalismo,amor
serenidad,amor
simpatia,amor
solidaridad,amor
solitud,amor
templanza,amor
tenacidad,amor
ternura,amor
tolerancia,amor
unidad,amor
valoracion,amor
miedo,miedo
achicamiento,miedo
acobardamiento,miedo
acoquinamiento,miedo
alarma,miedo
amilanamiento,miedo
angustia,miedo
ansiedad,miedo
apocamiento,miedo
aprension,miedo
canguelo,miedo
cautela,miedo
circunspeccion,miedo
cobardia,miedo
desasosiego,miedo
desconfianza,miedo
desproteccion,miedo
desvalimiento,miedo
escrupulosidad,miedo
espanto,miedo
fobia,miedo
fragilidad,miedo
horror,miedo
impasibilidad,miedo
indefension,miedo
inestabilidad,miedo
inferioridad,miedo
inquietud,miedo
inseguridad,miedo
insignificancia,miedo
insuficiencia,miedo
intimidacion,miedo
intranquilidad,miedo
medrosidad,miedo
mezquindad,miedo
mortificacion,miedo
nerviosismo,miedo
panico,miedo
paralisis,miedo
pavidez,miedo
pavor,miedo
perturbacion,miedo
preocupacion,miedo
prevencion,miedo
pudor,miedo
pusilanimidad,miedo
reserva,miedo
resquemor,miedo
sometimiento,miedo
sumision,miedo
suspicacia,miedo
susto,miedo
temor,miedo
terror,miedo
timidez,miedo
verguenza,miedo
victimismo,miedo
vigilancia,miedo
vulnerabilidad,miedo
sorpresa,sorpresa
alteracion,sorpresa
ambivalencia,sorpresa
anormalidad,sorpresa
arrobamiento,sorpresa
asombro,sorpresa
aturdimiento,sorpresa
confusion,sorpresa
conmocion,sorpresa
curiosidad,sorpresa
desapercibimiento,sorpresa
desconcierto,sorpresa
deslumbramiento,sorpresa
desorientacion,sorpresa
disonancia,sorpresa
distraccion,sorpresa
duda,sorpresa
emergencia,sorpresa
escepticismo,sorpresa
estremecimiento,sorpresa
estupefaccion,sorpresa
estupor,sorpresa
expectacion,sorpresa
extraneza,sorpresa
extraordinario,sorpresa
extravagancia,sorpresa
ilogico,sorpresa
impacto,sorpresa
impresion,sorpresa
imprevision,sorpresa
inadvertencia,sorpresa
inaudito,sorpresa
incoherencia,sorpresa
incongruencia,sorpresa
incredulidad,sorpresa
increible,sorpresa
indecision,sorpresa
inesperado,sorpresa
insolito,sorpresa
insospechado,sorpresa
intempestivo,sorpresa
intriga,sorpresa
irreal,sorpresa
irreflexion,sorpresa
maravilla,sorpresa
obnubilacion,sorpresa
pasmo,sorpresa
peculiaridad,sorpresa
perplejidad,sorpresa
prodigio,sorpresa
rareza,sorpresa
revelador,sorpresa
shock,sorpresa
sobresalto,sorpresa
traumatico,sorpresa
titubeo,sorpresa
urgencia,sorpresa
vacilacion,sorpresa
asco,asco
abominable,asco 
aborrecimiento,asco 
abstinencia,asco 
alejamiento,asco 
animadversion,asco 
antagonismo,asco 
antipatia,asco 
apartamiento,asco 
aversion,asco 
censura,asco 
contencion,asco 
continencia,asco 
desafecto,asco 
desapego,asco 
desagrado,asco 
desavenencia,asco 
desazon,asco 
desdeno,asco 
desprecio,asco 
destitucion,asco 
discrepancia,asco 
discriminacion,asco 
disentimiento,asco 
distanciamiento,asco 
divergencia,asco 
eliminacion,asco 
emetico,asco 
empacho,asco 
empalago,asco 
evasion,asco 
evitacion,asco 
execracion,asco 
grima,asco 
hastio,asco 
inadecuacion,asco 
inapetencia,asco 
incompatibilidad,asco 
inadmision,asco 
inmoralidad,asco 
inmundicia,asco 
inquina,asco 
intolerancia,asco 
mesura,asco 
moderacion,asco 
nausea,asco 
nocividad,asco 
obscenidad,asco 
oposicion,asco 
rechazo,asco 
remocion,asco 
renuencia,asco 
renuncia,asco 
repudio,asco 
repugnancia,asco 
repulsion,asco 
separacion,asco 
sobriedad,asco 
tirria,asco 
toxicidad,asco 
vomitivo,asco
